,name
283,"E 284 400010 Abdul Rauf Manzil,Rb Marg,Opposite Mafatlal Mill,Ghodapdeo Congested Area"
284,"E 285 400010 Amina Manzil,Hussain Patel Marg,Pahadivali Masjid,Mazgaon Congested Area"
285,"E 286 400010 Ambewadi Beithi Chawl,Matarpakadi Road,Behind Darbar Hotel,Mazgaon Congested Area"
286,"E 287 400010 New Tank Bunder Kawla Bunder,Reay Road,Mariyamma Mandir,Raey Road Congested Area"
287,"E 288 400010 Apna Clinic Dr. Sanjay Dalvi Clinic Kawla Bunder,New Tank Bander Road,New Fashion Tailor,Raey Road Congested Area"
288,"E 289 400010 Bharat Chs 65/A,Dockyard Road,Opposite Health Pst,Mazgaon"
289,"E 290 400010 61 Bandukwala Building,D'Lima Street,Near Sainath Hotel,Mazgaon"
290,"E 291 400010 3/46 New Bodyguard Police Line,Dockyard Road,Near Rosary School,Mazgaon"
291,"E 292 400010 Kawla Bunder,New Tank Bunder,Premdan Balwadi,Raey Road Congested Area"
292,"E 293 400010 Copper Castle,Jm Rathod Marg,Mazgaon"
293,"E 294 400010 Wadi Bunder,Jm Rathod Marg,Hanuman Mandir,Mazgaon Congested Area"
294,"E 295 400010 Kawla Bunder,New Tank Bunder Road,Near Premdan Balwadi,Raey Road Congested Area"
295,"E 296 400010 Chamber Castle Building,D'Lima Street,Juna Bajar,Mazgaon"
296,"E 297 400010 Abu Bukar Chawl Shanti Nagar,New Tank Bunder Road,Darukhana,Raey Road Congested Area"
297,"E 298 400010 Mazgaon Appartment,Rb Marg,Opp. Mafatlal Mill,Mazgaon"
298,"E 299 400010 Bit Chawl No. 5,St. Merry Road,Muncipal School,Mazgaon"
299,"E 300 400010 Tadvadi Bit Chawl No.10,St. Merry Road,Muncipal School,Mazgaon"
300,"E 301 400011 Khusnuma Apartment / Bit Chawl,M A Road / M. S. Ansari Marg,Kalapani,Agripada"
